country,Year,success,internationalAttack,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,1,8
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Monumento           ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1990,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Monumento           ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Infraestrutura      ,TargetType,Governo                  ,Instituições Governamentais                                      ,Social Resistance                                 ,0,0
Greece              ,1990,1,0,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,0,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Free Galician People's Guerrilla Army             ,0,0
Spain               ,1990,0,1,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Airports & Aeronave           ,Aéreo Desconhecido                                        ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Monumento           ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1990,1,1,Assalto                       ,TargetType,Forças Militares            ,Forças Militares                                ,Anti-Authority Group (Greece)                     ,0,0
United Kingdom      ,1990,0,1,Infraestrutura      ,TargetType,Negócios                 ,Construction                                      ,Meibion Glyndwr                                   ,0,0
United Kingdom      ,1990,0,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Meibion Glyndwr                                   ,0,0
Greece              ,1990,1,0,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Revolutionary Solidarity                          ,1,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,2
Belgium             ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,1,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Desconhecido                                           ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Organização                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Organização                                      ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1990,0,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Policia              ,Prisão                                            ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1990,0,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,0,1
Greece              ,1990,0,0,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Mikhail Kaltezas Anarchist Organização           ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Anarchists                                        ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,1,0
Spain               ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Terra Lliure                                      ,0,0
Spain               ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Terra Lliure                                      ,0,0
Spain               ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Terra Lliure                                      ,0,0
Sweden              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,1,0
Spain               ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,1,0
France              ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
Greece              ,1990,0,0,Assassinato                 ,TargetType,Negócios                 ,Corporações                                       ,Desconhecido                                           ,0,2
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Industrial                                        ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,0,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Terra Lliure                                      ,0,1
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish National Liberation Army (INLA)             ,1,0
Ireland             ,1990,1,1,Assalto                       ,TargetType,Transportes              ,Comboio                                             ,Irish Republican Army (IRA)                       ,0,0
Belgium             ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,1,0
Cyprus              ,1990,1,0,Bombardeamento             ,TargetType,Religião,Local de Culto                                  ,Desconhecido                                           ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,8
Netherlands         ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Revolutionary Anti-Racist Action                  ,0,0
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Social Resistance                                 ,0,0
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Social Resistance                                 ,0,0
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Social Resistance                                 ,0,0
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Social Resistance                                 ,0,0
Italy               ,1990,1,0,Bombardeamento             ,TargetType,Policia              ,Prisão                                            ,Red Brigades                                      ,0,0
Spain               ,1990,1,0,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,First of October Antifascist Resistance Group,1,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,1,0
Ireland             ,1990,1,1,Reféns               ,TargetType,Governo                  ,Politicos                                      ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1990,1,0,Assalto                       ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,1,4
Greece              ,1990,1,0,Infraestrutura      ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Spain               ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,1,Assalto                       ,TargetType,Policia              ,Organizações Policiais                                    ,Basque Fatherland and Freedom (ETA)               ,0,2
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Revolutionary People's Struggle (ELA)             ,0,1
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Spain               ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Negócios                 ,Desconhecido                                           ,Protestant extremists                             ,1,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Monumento           ,Terra Lliure                                      ,0,2
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,4,6
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
France              ,1990,1,0,Bombardeamento             ,TargetType,Negócios                 ,Turismo                                           ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Terrorists                    ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,1,Infraestrutura      ,TargetType,Negócios                 ,Entretenimento         ,Animal Liberation Front (ALF)                     ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Negócios                 ,Entretenimento         ,Basque Fatherland and Freedom (ETA)               ,0,1
Poland              ,1990,1,0,Assassinato                 ,TargetType,Jornalismo e Media         ,Jornal                                         ,Desconhecido                                           ,1,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Instituições Governamentais                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,1,Assassinato                 ,TargetType,Policia              ,Prisão                                            ,Basque Fatherland and Freedom (ETA)               ,0,1
United Kingdom      ,1990,1,1,Infraestrutura      ,TargetType,Negócios                 ,Desconhecido                                           ,Animal Rights extremists                          ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1990,0,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,1,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Negócios                 ,Construction                                      ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Airports & Aeronave           ,Aéreo Desconhecido                                        ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Desconhecido                                           ,0,1
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Construction                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,1,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,7
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,November 17 Revolutionary Organização (N17RO)    ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,1,1
Spain               ,1990,1,0,Assassinato                 ,TargetType,Negócios                 ,Banco                                              ,First of October Antifascist Resistance Group,1,0
Spain               ,1990,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,5
Greece              ,1990,0,0,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Desconhecido                                           ,0,0
Spain               ,1990,1,0,Assalto                       ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,0,1
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
Greece              ,1990,1,0,Infraestrutura      ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,1
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,0,Bombardeamento             ,TargetType,Telecomunicações             ,Desconhecido                                           ,First of October Antifascist Resistance Group,0,0
Sweden              ,1990,1,0,UnAssalto                     ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,11
Sweden              ,1990,1,0,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Refugiado                                           ,Desconhecido                                           ,0,0
Netherlands         ,1990,1,1,Assassinato                 ,TargetType,Negócios                 ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,2,0
Sweden              ,1990,1,1,Infraestrutura      ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
France              ,1990,0,0,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,1
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,November 17 Revolutionary Organização (N17RO)    ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,1,2
Sweden              ,1990,1,0,Bombardeamento             ,TargetType,Religião,Local de Culto                                  ,Desconhecido                                           ,0,0
Spain               ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Volunteer Force (UVF)                      ,1,2
United Kingdom      ,1990,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,1,1
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Negócios                 ,Industrial                                        ,Animal Liberation Front (ALF)                     ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,2,0
Poland              ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,December 13 Independent Group                     ,0,0
Poland              ,1990,1,0,Bombardeamento             ,TargetType,Airports & Aeronave           ,Linha Aérea                                         ,December 13 Independent Group                     ,0,0
Poland              ,1990,1,0,Bombardeamento             ,TargetType,Jornalismo e Media         ,Jornal                                         ,December 13 Independent Group                     ,0,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Politicos                                      ,Ulster Volunteer Force (UVF)                      ,0,1
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Instituto Educacional    , Edifício Educacional,Animal Liberation Front (ALF)                     ,0,1
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,17
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,November 17 Revolutionary Organização (N17RO)    ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Animal Liberation Front (ALF)                     ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Terrorists                    ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Spain               ,1990,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,1,Infraestrutura      ,TargetType,Negócios                 ,Industrial                                        ,Animal Liberation Front (ALF)                     ,0,0
Spain               ,1990,1,0,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,First of October Antifascist Resistance Group,1,0
Austria             ,1990,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Irish Republican Army (IRA)                       ,0,1
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Negócios                 ,Desconhecido                                           ,Meibion Glyndwr                                   ,0,1
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Meibion Glyndwr                                   ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
Greece              ,1990,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Meibion Glyndwr                                   ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Governo                  ,Instituições Governamentais                                      ,Meibion Glyndwr                                   ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Irish Republican Army (IRA)                       ,0,4
Spain               ,1990,1,1,Assalto                       ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,3,1
Spain               ,1990,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Irish Republican Army (IRA)                       ,0,0
Netherlands         ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,2,0
Greece              ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Popular Rage                                      ,0,0
Greece              ,1990,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Popular Rage                                      ,0,0
Greece              ,1990,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Popular Rage                                      ,0,0
Greece              ,1990,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Popular Rage                                      ,0,0
